anchor,positive,negative,label
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_150_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_172_2.jpg,augmentedv2_images\FMSD-114-F_aug_1.jpg,none
augmentedv2_images\FMS-62-M_aug_1.jpg,augmentedv2_images\FMS-62-S_aug_2.jpg,augmentedv2_images\md_214_1_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-200-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-200-S.jpg,augmentedv2_images\md_033_1_aug_1.jpg,father-son
augmentedv2_images\FMS-160-F_aug_1.jpg,augmentedv2_images\FMS-160-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_062_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Parents/Parent_008.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Children/Child_008.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_055_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-220-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-220-S.jpg,augmentedv2_images\Colin_Powell_0019_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_091_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_055_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-96-F.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_080_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_080_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ariel_Sharon\Ariel_Sharon_0002.jpg,father-son
augmentedv2_images\ms_153_1_aug_1.jpg,augmentedv2_images\ms_153_2_aug_2.jpg,augmentedv2_images\fs_038_1_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0015.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0034.jpg,augmentedv2_images\FMD-113-M_aug_1.jpg,similar face
augmentedv2_images\Alejandro_Toledo_0005_aug_1.jpg,augmentedv2_images\Alejandro_Toledo_0007_aug_2.jpg,augmentedv2_images\FMS-167-F_aug_1.jpg,similar face
augmentedv2_images\Ariel_Sharon_0017_aug_1.jpg,augmentedv2_images\Ariel_Sharon_0054_aug_2.jpg,augmentedv2_images\FMSD-7-F_aug_1.jpg,similar face
augmentedv2_images\FMD-30-F_aug_1.jpg,augmentedv2_images\FMD-30-D_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-151-M.jpg,father-dau
augmentedv2_images\FMSD-92-F_aug_1.jpg,augmentedv2_images\FMSD-92-D_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_011_1.jpg,father-dau
augmentedv2_images\FMS-32-M_aug_1.jpg,augmentedv2_images\FMS-32-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_079_1.jpg,mother-son
augmentedv2_images\FMS-134-F_aug_1.jpg,augmentedv2_images\FMS-134-S_aug_2.jpg,augmentedv2_images\FMSD-39-M_aug_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0043.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0183.jpg,augmentedv2_images\FMD-178-F_aug_1.jpg,similar face
augmentedv2_images\FMSD-133-F_aug_1.jpg,augmentedv2_images\FMSD-133-S_aug_2.jpg,augmentedv2_images\md_130_1_aug_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_140_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_187_2.jpg,augmentedv2_images\FMS-231-F_aug_1.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_083_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_139_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ariel_Sharon\Ariel_Sharon_0007.jpg,none
augmentedv2_images\FMSD-192-M_aug_1.jpg,augmentedv2_images\FMSD-192-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_110_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_059_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_126_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0003.jpg,none
augmentedv2_images\fs_202_1_aug_1.jpg,augmentedv2_images\fs_202_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Parents/Parent_132.jpg,father-son
augmentedv2_images\md_063_1_aug_1.jpg,augmentedv2_images\md_214_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-249-F.jpg,none
augmentedv2_images\Ariel_Sharon_0070_aug_1.jpg,augmentedv2_images\Ariel_Sharon_0073_aug_2.jpg,augmentedv2_images\fd_186_1_aug_1.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0012.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0131.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_104_1.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-101-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-101-D.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_188_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_223_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_116_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0009.jpg,none
augmentedv2_images\FMSD-101-M_aug_1.jpg,augmentedv2_images\FMSD-101-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-69-F.jpg,mother-son
augmentedv2_images\FMS-276-M_aug_1.jpg,augmentedv2_images\FMS-276-S_aug_2.jpg,augmentedv2_images\FMSD-93-F_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Alejandro_Toledo\Alejandro_Toledo_0023.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Alejandro_Toledo\Alejandro_Toledo_0027.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-93-F.jpg,similar face
augmentedv2_images\Colin_Powell_0001_aug_1.jpg,augmentedv2_images\Colin_Powell_0094_aug_2.jpg,augmentedv2_images\FMSD-99-F_aug_1.jpg,similar face
augmentedv2_images\FMS-247-F_aug_1.jpg,augmentedv2_images\FMS-247-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-68-M.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-16-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-16-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0077.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-122-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-122-S.jpg,augmentedv2_images\fs_120_1_aug_1.jpg,father-son
augmentedv2_images\Ariel_Sharon_0030_aug_1.jpg,augmentedv2_images\Ariel_Sharon_0037_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-179-M.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ariel_Sharon\Ariel_Sharon_0009.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ariel_Sharon\Ariel_Sharon_0031.jpg,augmentedv2_images\fd_141_1_aug_1.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0046.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0071.jpg,augmentedv2_images\FMS-232-F_aug_1.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-63-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-63-S.jpg,augmentedv2_images\FMD-234-M_aug_1.jpg,father-son
augmentedv2_images\ms_104_1_aug_1.jpg,augmentedv2_images\ms_104_2_aug_2.jpg,augmentedv2_images\Ariel_Sharon_0026_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_126_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_126_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-139-M.jpg,father-son
augmentedv2_images\fs_001_1_aug_1.jpg,augmentedv2_images\fs_001_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_038_1.jpg,father-son
augmentedv2_images\FMSD-41-F_aug_1.jpg,augmentedv2_images\FMSD-41-D_aug_2.jpg,augmentedv2_images\FMS-27-F_aug_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-185-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-185-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-6-F.jpg,mother-son
augmentedv2_images\FMSD-219-F_aug_1.jpg,augmentedv2_images\FMSD-219-D_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ariel_Sharon\Ariel_Sharon_0010.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0012.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0162.jpg,augmentedv2_images\FMD-243-F_aug_1.jpg,similar face
augmentedv2_images\FMSD-181-M_aug_1.jpg,augmentedv2_images\FMSD-181-D_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_116_1.jpg,mother-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_019_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_203_2.jpg,augmentedv2_images\Colin_Powell_0004_aug_1.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-16-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-16-D.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-116-F.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0041.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0109.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Parents/Parent_106.jpg,similar face
augmentedv2_images\FMSD-127-F_aug_1.jpg,augmentedv2_images\FMSD-127-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_043_1.jpg,father-son
augmentedv2_images\FMS-27-F_aug_1.jpg,augmentedv2_images\FMS-27-S_aug_2.jpg,augmentedv2_images\FMD-217-M_aug_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-148-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-148-D.jpg,augmentedv2_images\FMS-82-M_aug_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_151_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_151_2.jpg,augmentedv2_images\fs_240_1_aug_1.jpg,mother-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-30-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-30-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-51-F.jpg,mother-son
augmentedv2_images\ms_115_1_aug_1.jpg,augmentedv2_images\ms_070_2_aug_2.jpg,augmentedv2_images\FMSD-187-M_aug_1.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_126_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_126_2.jpg,augmentedv2_images\FMD-101-M_aug_1.jpg,mother-son
augmentedv2_images\FMSD-108-F_aug_1.jpg,augmentedv2_images\FMSD-108-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0052.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_017_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_093_2.jpg,augmentedv2_images\FMS-276-F_aug_1.jpg,none
augmentedv2_images\Al_Gore_0003_aug_1.jpg,augmentedv2_images\Al_Gore_0005_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_037_1.jpg,similar face
augmentedv2_images\FMSD-134-M_aug_1.jpg,augmentedv2_images\FMSD-134-S_aug_2.jpg,augmentedv2_images\FMSD-198-M_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-94-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-94-D.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ariel_Sharon\Ariel_Sharon_0029.jpg,mother-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-150-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-150-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Chung_Mong-hun\Chung_Mong-hun_0001.jpg,mother-son
augmentedv2_images\ms_074_1_aug_1.jpg,augmentedv2_images\ms_231_2_aug_2.jpg,augmentedv2_images\FMD-143-F_aug_1.jpg,none
augmentedv2_images\md_007_1_aug_1.jpg,augmentedv2_images\md_107_2_aug_2.jpg,augmentedv2_images\Bob_Stoops_0006_aug_1.jpg,none
augmentedv2_images\Colin_Powell_0030_aug_1.jpg,augmentedv2_images\Colin_Powell_0181_aug_2.jpg,augmentedv2_images\fd_211_1_aug_1.jpg,similar face
augmentedv2_images\Ariel_Sharon_0011_aug_1.jpg,augmentedv2_images\Ariel_Sharon_0069_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-26-F.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_131_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_053_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ariel_Sharon\Ariel_Sharon_0038.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0042.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0199.jpg,augmentedv2_images\fd_153_1_aug_1.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_208_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_055_2.jpg,augmentedv2_images\FMSD-150-M_aug_1.jpg,none
augmentedv2_images\fs_039_1_aug_1.jpg,augmentedv2_images\fs_050_2_aug_2.jpg,augmentedv2_images\ms_250_1_aug_1.jpg,none
augmentedv2_images\ms_123_1_aug_1.jpg,augmentedv2_images\ms_123_2_aug_2.jpg,augmentedv2_images\Colin_Powell_0029_aug_1.jpg,mother-son
augmentedv2_images\md_053_1_aug_1.jpg,augmentedv2_images\md_069_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-63-M.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_189_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_189_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-60-M.jpg,mother-dau
augmentedv2_images\Colin_Powell_0019_aug_1.jpg,augmentedv2_images\Colin_Powell_0204_aug_2.jpg,augmentedv2_images\fd_055_1_aug_1.jpg,similar face
augmentedv2_images\FMSD-7-M_aug_1.jpg,augmentedv2_images\FMSD-7-S_aug_2.jpg,augmentedv2_images\Andre_Agassi_0027_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-216-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-216-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_010_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_186_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_185_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_168_1.jpg,none
augmentedv2_images\Colin_Powell_0001_aug_1.jpg,augmentedv2_images\Colin_Powell_0111_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-216-M.jpg,similar face
augmentedv2_images\FMSD-81-F_aug_1.jpg,augmentedv2_images\FMSD-81-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-164-F.jpg,father-son
augmentedv2_images\FMSD-213-F_aug_1.jpg,augmentedv2_images\FMSD-213-D_aug_2.jpg,augmentedv2_images\FMS-65-F_aug_1.jpg,father-dau
augmentedv2_images\md_039_1_aug_1.jpg,augmentedv2_images\md_050_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-248-M.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_178_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_218_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-144-M.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_221_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_024_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-40-M.jpg,none
augmentedv2_images\FMSD-205-F_aug_1.jpg,augmentedv2_images\FMSD-205-S_aug_2.jpg,augmentedv2_images\Colin_Powell_0010_aug_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-262-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-262-S.jpg,augmentedv2_images\fs_243_1_aug_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ai_Sugiyama\Ai_Sugiyama_0003.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Ai_Sugiyama\Ai_Sugiyama_0005.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_091_1.jpg,similar face
augmentedv2_images\Colin_Powell_0064_aug_1.jpg,augmentedv2_images\Colin_Powell_0161_aug_2.jpg,augmentedv2_images\FMD-116-F_aug_1.jpg,similar face
augmentedv2_images\ms_190_1_aug_1.jpg,augmentedv2_images\ms_190_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-14-F.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-19-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-19-D.jpg,augmentedv2_images\FMSD-86-M_aug_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-203-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-203-S.jpg,augmentedv2_images\Colin_Powell_0010_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0055.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0215.jpg,augmentedv2_images\FMSD-94-F_aug_1.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_230_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_207_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-229-M.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_076_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_076_2.jpg,augmentedv2_images\FMSD-37-M_aug_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_109_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_109_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_050_1.jpg,mother-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-154-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-154-D.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Carlos_Vives\Carlos_Vives_0002.jpg,father-dau
augmentedv2_images\FMSD-177-M_aug_1.jpg,augmentedv2_images\FMSD-177-D_aug_2.jpg,augmentedv2_images\FMSD-118-F_aug_1.jpg,mother-dau
